cfc_item_index,cfc_materia,cfc_item_titulo,v2_topic_id,v2_materia,v2_topico,score,cont_v1,cont_v2,sobra,relacao_sugerida,revisado,observacao
1,Direito Administrativo,Glossário de Siglas,,Direito Administrativo,NENHUM,0,0,0,N/A,NENHUM,,Tópico genérico (Jurisprudência/Súmula/Exercícios) sem correspondente direto no edital
2,Direito Administrativo,Conceitos e Fontes do Direito Administrativo,trt4_2026p__adm_t5,Direito Administrativo,Tópico 05 - Processo administrativo federal (Lei nº 9.784/1999),0.16,0.25,0.14,CFC+: [conceitos fontes direito] | V2+: [processo federal lei n],NENHUM,,Análise manual necessária
2,Direito Administrativo,Conceitos e Fontes do Direito Administrativo,trt4_2026p__adm_t2,Direito Administrativo,"Tópico 02 - Ato administrativo: Conceito, requisitos, atributos, anulação, revogação, convalidação, discricionariedade e vinculação",0.14,0.25,0.1,CFC+: [conceitos fontes direito] | V2+: [ato conceito requisitos atributos],NENHUM,,Análise manual necessária
2,Direito Administrativo,Conceitos e Fontes do Direito Administrativo,trt4_2026p__adm_t6,Direito Administrativo,"Tópico 06 - Controle e responsabilização da administração (administrativo, judicial, legislativo); Responsabilidade extracontratual do Estado",0.14,0.25,0.11,CFC+: [conceitos fontes direito] | V2+: [controle responsabilizacao administracao judicial],NENHUM,,Análise manual necessária
3,Direito Administrativo,Administração Pública (conforme CF/88),trt4_2026p__adm_t1,Direito Administrativo,"Tópico 01 - Administração Pública: Princípios básicos e Poderes Administrativos (hierárquico, disciplinar, regulamentar, polícia, uso/abuso de poder)",0.26,0.5,0.17,CFC+: [conforme cf/88] | V2+: [principios basicos poderes administrativos],PARCIAL,,Análise manual necessária
3,Direito Administrativo,Administração Pública (conforme CF/88),trt4_2026p__adm_t6,Direito Administrativo,"Tópico 06 - Controle e responsabilização da administração (administrativo, judicial, legislativo); Responsabilidade extracontratual do Estado",0.14,0.25,0.11,CFC+: [publica conforme cf/88] | V2+: [controle responsabilizacao administrativo judicial],NENHUM,,Análise manual necessária
3,Direito Administrativo,Administração Pública (conforme CF/88),trt4_2026p__adm_t3,Direito Administrativo,"Tópico 03 - Organização administrativa: Administração direta e indireta, Autarquias, Fundações, Empresas Públicas, Sociedades de Economia Mista, Consórcios Públicos (Lei 11.107/05)",0.11,0.25,0.06,CFC+: [publica conforme cf/88] | V2+: [organizacao administrativa direta indireta],NENHUM,,Análise manual necessária
4,Direito Administrativo,Poderes e Deveres da Administração Pública,trt4_2026p__adm_t1,Direito Administrativo,"Tópico 01 - Administração Pública: Princípios básicos e Poderes Administrativos (hierárquico, disciplinar, regulamentar, polícia, uso/abuso de poder)",0.39,0.75,0.25,CFC+: [deveres] | V2+: [principios basicos administrativos hierarquico],CFC_MAIS_ESTREITO,,Análise manual necessária
4,Direito Administrativo,Poderes e Deveres da Administração Pública,trt4_2026p__adm_t6,Direito Administrativo,"Tópico 06 - Controle e responsabilização da administração (administrativo, judicial, legislativo); Responsabilidade extracontratual do Estado",0.14,0.25,0.11,CFC+: [poderes deveres publica] | V2+: [controle responsabilizacao administrativo judicial],NENHUM,,Análise manual necessária
4,Direito Administrativo,Poderes e Deveres da Administração Pública,trt4_2026p__adm_t3,Direito Administrativo,"Tópico 03 - Organização administrativa: Administração direta e indireta, Autarquias, Fundações, Empresas Públicas, Sociedades de Economia Mista, Consórcios Públicos (Lei 11.107/05)",0.11,0.25,0.06,CFC+: [poderes deveres publica] | V2+: [organizacao administrativa direta indireta],NENHUM,,Análise manual necessária
5,Direito Administrativo,Atos Administrativos,trt4_2026p__adm_t8,Direito Administrativo,Tópico 08 - Nova Lei de Licitações e Contratos Administrativos (Lei nº 14.133/2021),0.23,0.5,0.13,CFC+: [atos] | V2+: [nova lei licitacoes contratos],PARCIAL,,Análise manual necessária
5,Direito Administrativo,Atos Administrativos,trt4_2026p__adm_t1,Direito Administrativo,"Tópico 01 - Administração Pública: Princípios básicos e Poderes Administrativos (hierárquico, disciplinar, regulamentar, polícia, uso/abuso de poder)",0.2,0.5,0.08,CFC+: [atos] | V2+: [administracao publica principios basicos],PARCIAL,,Análise manual necessária
6,Direito Administrativo,Organização da Administração Pública e Terceiro Setor,trt4_2026p__adm_t11,Direito Administrativo,Tópico 11 - Terceiro Setor e Entes paraestatais,0.38,0.4,0.5,CFC+: [organizacao administracao publica] | V2+: [entes paraestatais],PARCIAL,,Análise manual necessária
6,Direito Administrativo,Organização da Administração Pública e Terceiro Setor,trt4_2026p__adm_t1,Direito Administrativo,"Tópico 01 - Administração Pública: Princípios básicos e Poderes Administrativos (hierárquico, disciplinar, regulamentar, polícia, uso/abuso de poder)",0.22,0.4,0.17,CFC+: [organizacao terceiro setor] | V2+: [principios basicos poderes administrativos],PARCIAL,,Análise manual necessária
