materia,pdf_no_banco,ordem,titulo_capitulo,parte,de,pageStart,pageEnd,paginas,minutos_3ppm
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,1,GLOSSÁRIO DE SIGLAS,1,1,6,7,2,6
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,2,CONCEITOS E FONTES DO DIREITO ADMINISTRATIVO,1,1,8,9,2,6
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,3,ADMINISTRAÇÃO PÚBLICA (CONFORME CF/88),1,1,10,13,4,12
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,4,PODERES E DEVERES DA ADMINISTRAÇÃO PÚBLICA,1,1,14,16,3,9
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,5,ATOS ADMINISTRATIVOS,1,2,17,21,5,15
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,6,ATOS ADMINISTRATIVOS,2,2,22,25,4,12
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,7,ORGANIZAÇÃO DA ADMINISTRAÇÃO PÚBLICA E TERCEIRO SETOR,1,1,26,30,5,15
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,8,SERVIÇOS PÚBLICOS,1,2,31,35,5,15
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,9,SERVIÇOS PÚBLICOS,2,2,36,39,4,12
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,10,RESPONSABILIDADE CIVIL DO ESTADO,1,1,40,42,3,9
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,11,CONTROLE DA ADMINISTRAÇÃO PÚBLICA,1,1,43,49,7,21
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,12,LEI 9.784/99 – PROCESSO ADMINISTRATIVO FEDERAL,1,1,50,56,7,21
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,13,BENS PÚBLICOS,1,1,57,58,2,6
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,14,INTERVENÇÃO DO ESTADO NA PROPRIEDADE PRIVADA,1,1,59,63,5,15
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,15,LEI 12.527/12 – ACESSO À INFORMAÇÃO,1,1,64,67,4,12
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,16,AGENTES PÚBLICOS – PARTE CONSTITUCIONAL,1,1,68,75,8,24
Direito Administrativo,1 - Direito Administrativo_compressed.pdf,17,LEI 8.112/90 – ESTATUTO DOS SERVIDORES PÚBLICOS FEDERAIS,1,3,76,80,5,15
